,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Emotion	Time,Emotion,Time,Score
0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,happiness,1619923431.4796388,2
1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,neutral,1619923433.9276378,0
2,2.0,0.0,,,,,,,,,,,,,,,,,,,happiness,1619948305.0556688,2
3,3.0,0.0,,,,,,,,,,,,,,,,,,,neutral,1619948308.2966688,0
4,4.0,0.0,,,,,,,,,,,,,,,,,,,happiness,1619948308.6796985,2
5,5.0,0.0,,,,,,,,,,,,,,,,,,,neutral,1619948309.8877325,0
6,0.0,,,,,,,,,,,,,,,,,,,,happiness,1619948732.97961,2
7,0.0,,,,,,,,,,,,,,,,,,,,neutral,1619948734.4996166,0
0,,,,,,,,,,,,,,,,,,,,,happiness,1619948824.1763005,2
0,,,,,,,,,,,,,,,,,,,,,neutral,1619948824.5682976,0
